Name		minicontrol		Action			Detect			Sensitivity						|<--	Output					-->|
			C#1	Little h	Big H	Big H	on	0	25	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E28:G28)="","",UNICHAR(34)&H28&" "&I28&" "&J28&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E28),"",L28)	=IF(ISBLANK(E28),"",LOOKUP(E28,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F28),"",M28)	=IF(ISBLANK(F28),"",LOOKUP(F28,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G28),"",N28)	=IF(ISBLANK(G28),"",LOOKUP(G28,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E28:G28)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D1	Little c	Big C	Big C	on	0	26	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E29:G29)="","",UNICHAR(34)&H29&" "&I29&" "&J29&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E29),"",L29)	=IF(ISBLANK(E29),"",LOOKUP(E29,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F29),"",M29)	=IF(ISBLANK(F29),"",LOOKUP(F29,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G29),"",N29)	=IF(ISBLANK(G29),"",LOOKUP(G29,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E29:G29)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#1	Little t	Big T	Big T	on	0	27	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E30:G30)="","",UNICHAR(34)&H30&" "&I30&" "&J30&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E30),"",L30)	=IF(ISBLANK(E30),"",LOOKUP(E30,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F30),"",M30)	=IF(ISBLANK(F30),"",LOOKUP(F30,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G30),"",N30)	=IF(ISBLANK(G30),"",LOOKUP(G30,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E30:G30)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E1	Little m	Big M	Big M	on	0	28	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E31:G31)="","",UNICHAR(34)&H31&" "&I31&" "&J31&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E31),"",L31)	=IF(ISBLANK(E31),"",LOOKUP(E31,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F31),"",M31)	=IF(ISBLANK(F31),"",LOOKUP(F31,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G31),"",N31)	=IF(ISBLANK(G31),"",LOOKUP(G31,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E31:G31)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F1	Little v	Big V	Big V	on	0	29	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E32:G32)="","",UNICHAR(34)&H32&" "&I32&" "&J32&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E32),"",L32)	=IF(ISBLANK(E32),"",LOOKUP(E32,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F32),"",M32)	=IF(ISBLANK(F32),"",LOOKUP(F32,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G32),"",N32)	=IF(ISBLANK(G32),"",LOOKUP(G32,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E32:G32)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#1	Little n	Big N	Big N	on	0	30	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E33:G33)="","",UNICHAR(34)&H33&" "&I33&" "&J33&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E33),"",L33)	=IF(ISBLANK(E33),"",LOOKUP(E33,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F33),"",M33)	=IF(ISBLANK(F33),"",LOOKUP(F33,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G33),"",N33)	=IF(ISBLANK(G33),"",LOOKUP(G33,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E33:G33)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G1	Little r	Big R	Big R	on	0	31	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E34:G34)="","",UNICHAR(34)&H34&" "&I34&" "&J34&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E34),"",L34)	=IF(ISBLANK(E34),"",LOOKUP(E34,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F34),"",M34)	=IF(ISBLANK(F34),"",LOOKUP(F34,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G34),"",N34)	=IF(ISBLANK(G34),"",LOOKUP(G34,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E34:G34)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#1	Little s	Big S	Big S	on	0	32	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E35:G35)="","",UNICHAR(34)&H35&" "&I35&" "&J35&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E35),"",L35)	=IF(ISBLANK(E35),"",LOOKUP(E35,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F35),"",M35)	=IF(ISBLANK(F35),"",LOOKUP(F35,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G35),"",N35)	=IF(ISBLANK(G35),"",LOOKUP(G35,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E35:G35)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A1	Little l	Big L	Big L	on	0	33	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E36:G36)="","",UNICHAR(34)&H36&" "&I36&" "&J36&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E36),"",L36)	=IF(ISBLANK(E36),"",LOOKUP(E36,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F36),"",M36)	=IF(ISBLANK(F36),"",LOOKUP(F36,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G36),"",N36)	=IF(ISBLANK(G36),"",LOOKUP(G36,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E36:G36)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#1	Little v	Big V	Big V	on	0	34	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E37:G37)="","",UNICHAR(34)&H37&" "&I37&" "&J37&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E37),"",L37)	=IF(ISBLANK(E37),"",LOOKUP(E37,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F37),"",M37)	=IF(ISBLANK(F37),"",LOOKUP(F37,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G37),"",N37)	=IF(ISBLANK(G37),"",LOOKUP(G37,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E37:G37)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B1	Little w	Big W	Big W	on	0	35	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E38:G38)="","",UNICHAR(34)&H38&" "&I38&" "&J38&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E38),"",L38)	=IF(ISBLANK(E38),"",LOOKUP(E38,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F38),"",M38)	=IF(ISBLANK(F38),"",LOOKUP(F38,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G38),"",N38)	=IF(ISBLANK(G38),"",LOOKUP(G38,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E38:G38)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C2	Enter	Enter	Enter	on	0	36	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E39:G39)="","",UNICHAR(34)&H39&" "&I39&" "&J39&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E39),"",L39)	=IF(ISBLANK(E39),"",LOOKUP(E39,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F39),"",M39)	=IF(ISBLANK(F39),"",LOOKUP(F39,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G39),"",N39)	=IF(ISBLANK(G39),"",LOOKUP(G39,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E39:G39)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#2	Escape	Escape	Escape	on	0	37	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E40:G40)="","",UNICHAR(34)&H40&" "&I40&" "&J40&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E40),"",L40)	=IF(ISBLANK(E40),"",LOOKUP(E40,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F40),"",M40)	=IF(ISBLANK(F40),"",LOOKUP(F40,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G40),"",N40)	=IF(ISBLANK(G40),"",LOOKUP(G40,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E40:G40)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D2	Alt P	Shift Alt P	Control Alt P	on	0	38	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E41:G41)="","",UNICHAR(34)&H41&" "&I41&" "&J41&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E41),"",L41)	=IF(ISBLANK(E41),"",LOOKUP(E41,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F41),"",M41)	=IF(ISBLANK(F41),"",LOOKUP(F41,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G41),"",N41)	=IF(ISBLANK(G41),"",LOOKUP(G41,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E41:G41)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			D#2	Alt Tilde	Shift Alt Tilde	Control Alt Tilde	on	0	39	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E42:G42)="","",UNICHAR(34)&H42&" "&I42&" "&J42&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E42),"",L42)	=IF(ISBLANK(E42),"",LOOKUP(E42,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F42),"",M42)	=IF(ISBLANK(F42),"",LOOKUP(F42,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G42),"",N42)	=IF(ISBLANK(G42),"",LOOKUP(G42,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E42:G42)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			E2	Alt Q	Shift Alt Q	Control Alt Q	on	0	40	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E43:G43)="","",UNICHAR(34)&H43&" "&I43&" "&J43&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E43),"",L43)	=IF(ISBLANK(E43),"",LOOKUP(E43,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F43),"",M43)	=IF(ISBLANK(F43),"",LOOKUP(F43,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G43),"",N43)	=IF(ISBLANK(G43),"",LOOKUP(G43,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E43:G43)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
	MidiMacros		F2	Alt R	Shift Alt R	Control Alt R	on	0	41	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E44:G44)="","",UNICHAR(34)&H44&" "&I44&" "&J44&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E44),"",L44)	=IF(ISBLANK(E44),"",LOOKUP(E44,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F44),"",M44)	=IF(ISBLANK(F44),"",LOOKUP(F44,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G44),"",N44)	=IF(ISBLANK(G44),"",LOOKUP(G44,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E44:G44)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			F#2	Alt 1	Shift Alt 1	Control Alt 1	on	0	42	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E45:G45)="","",UNICHAR(34)&H45&" "&I45&" "&J45&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E45),"",L45)	=IF(ISBLANK(E45),"",LOOKUP(E45,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F45),"",M45)	=IF(ISBLANK(F45),"",LOOKUP(F45,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G45),"",N45)	=IF(ISBLANK(G45),"",LOOKUP(G45,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E45:G45)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G2	Alt S	Shift Alt S	Control Alt S	on	0	43	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E46:G46)="","",UNICHAR(34)&H46&" "&I46&" "&J46&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E46),"",L46)	=IF(ISBLANK(E46),"",LOOKUP(E46,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F46),"",M46)	=IF(ISBLANK(F46),"",LOOKUP(F46,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G46),"",N46)	=IF(ISBLANK(G46),"",LOOKUP(G46,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E46:G46)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			G#2	Alt 2	Shift Alt 2	Control Alt 2	on	0	44	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E47:G47)="","",UNICHAR(34)&H47&" "&I47&" "&J47&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E47),"",L47)	=IF(ISBLANK(E47),"",LOOKUP(E47,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F47),"",M47)	=IF(ISBLANK(F47),"",LOOKUP(F47,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G47),"",N47)	=IF(ISBLANK(G47),"",LOOKUP(G47,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E47:G47)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A2	Alt A	Shift Alt A	Control Alt A	on	0	45	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E48:G48)="","",UNICHAR(34)&H48&" "&I48&" "&J48&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E48),"",L48)	=IF(ISBLANK(E48),"",LOOKUP(E48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F48),"",M48)	=IF(ISBLANK(F48),"",LOOKUP(F48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G48),"",N48)	=IF(ISBLANK(G48),"",LOOKUP(G48,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E48:G48)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			A#2	Alt 3	Shift Alt 3	Control Alt 3	on	0	46	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E49:G49)="","",UNICHAR(34)&H49&" "&I49&" "&J49&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E49),"",L49)	=IF(ISBLANK(E49),"",LOOKUP(E49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F49),"",M49)	=IF(ISBLANK(F49),"",LOOKUP(F49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G49),"",N49)	=IF(ISBLANK(G49),"",LOOKUP(G49,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E49:G49)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			B2	Alt B	Shift Alt B	Control Alt B	on	0	47	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E50:G50)="","",UNICHAR(34)&H50&" "&I50&" "&J50&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E50),"",L50)	=IF(ISBLANK(E50),"",LOOKUP(E50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F50),"",M50)	=IF(ISBLANK(F50),"",LOOKUP(F50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G50),"",N50)	=IF(ISBLANK(G50),"",LOOKUP(G50,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E50:G50)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C3	Alt C	Shift Alt C	Control Alt C	on	0	48	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E51:G51)="","",UNICHAR(34)&H51&" "&I51&" "&J51&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E51),"",L51)	=IF(ISBLANK(E51),"",LOOKUP(E51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F51),"",M51)	=IF(ISBLANK(F51),"",LOOKUP(F51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G51),"",N51)	=IF(ISBLANK(G51),"",LOOKUP(G51,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E51:G51)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
			C#3	Alt 4	Shift Alt 4	Control Alt 4	on	0	49	1	[1-9]|1[0-9]|2[0-4]) 	2[5-9]|[3-9][0-9]|1[0-1][0-9]) 	12[0-7]) 	127	=IF(CONCAT(E52:G52)="","",UNICHAR(34)&H52&" "&I52&" "&J52&UNICHAR(34)&" ) case "&UNICHAR(34)&"$data2"&UNICHAR(34)&" in ")	=IF(ISBLANK(E52),"",L52)	=IF(ISBLANK(E52),"",LOOKUP(E52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(F52),"",M52)	=IF(ISBLANK(F52),"",LOOKUP(F52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";;  ")	=IF(ISBLANK(G52),"",N52)	=IF(ISBLANK(G52),"",LOOKUP(G52,$Actions.$B$2:$Actions.$B$1107,$Actions.$D$2:$Actions.$D$1107)&";; ")	=IF(CONCAT(E52:G52)="","","esac ;;  "&UNICHAR(13)&UNICHAR(10))
